,text
152,"Today, we were honored to have U.S. Surgeon General 
@JeromeAdamsMD
  back in Georgia to officially open our new mega COVID-19 testing site at 
@ATLairport
, which will expand testing capacity in Metro Atlanta by 5,000 tests a day. #gapol"
153," Wear A Mask
 Practice Social Distancing
 Wash Your Hands
 Follow Public Health Guidelines

The fight against COVID-19 continues so hunker down and mask up! Together, we will protect both the lives and livelihoods of all Georgians."
154,"Even as we battle COVID, GA continues to be the spot for job creation, biz expansion, & investment. During the 1st month of the new fiscal year, we announced:
3,629 jobs created
$574 million in new investments 
 Economic opportunity in every corner of the state!
#gapol"
155,"COVID-19 has undermined the health & well-being of many Georgians while generating economic hardship for even more. Even though we are seeing encouraging signs, the fight to protect lives & livelihoods continues. Stay vigilant & let's win the war! #gapol"
156,ICYMI: Gov. Kemp signs bill to secure meals for at-risk children #gapol
157,"To help in our fight against COVID-19, we are opening a new testing site next week that will provide free testing to all Georgians. This is another strategic step forward as we work to flatten the curve & keep communities throughout our state safe. #gapol"
158,"As students return to school, we remain focused on equipping our teachers, administrators, & staff w/ the resources they need to ensure a safe & healthy start to the year. Now, more than ever, we must protect our students & those who educate them. #gapol"
159,"COVID-19 has threatened the health of our citizens & the livelihoods of many hardworking Georgians. Yesterday, we stopped by Hot Thomas - an Oconee Co. staple for 40+ yrs - for one last hotdog before they close. Mask up & eat local. Let's weather this storm together! #gapol"
160,"With the signing of Senate Bill 288, we are taking another measured step forward on criminal justice reform in Georgia. The ""Second Chance Bill"" will reduce recidivism rates, boost workforce participation, and ultimately keep Georgia families safe. #gapol"
161,"Georgia is a state that unapologetically supports our men and women in uniform. During these difficult days, we must protect those who risk their lives to protect us. #BackTheBlue #gapol"
162,We must protect our healthcare providers and local businesses during these difficult times. SB 359 will do just that. #gapol
163,"This week, I signed legislation into law that will expand access to High Speed Internet. By empowering the private sector to invest in rural parts of our state, we will ensure that every Georgian - no matter their zip code - has a strong connection. #gapol"
164,Another important step forward in the fight to lower prescription drug prices for hardworking Georgians -> https://gwinnettdailypost.com/local/health/rules-on-prescription-drug-prices-in-georgia-tightened-in-kemp-signed-bill/article_53850bd6-d817-11ea-ba8e-ef0519f78566.html?fbclid=IwAR3tRsqjD7PpJ6BNby_TInacKuYewWnlQq6-SGNpe3MuU9ciKjcGvq9Vu-g… #gapol
165,"Thanks to conservative leadership (past & present) & sustained economic activity, we are NOT requesting budget cuts from any agency next year. Moving forward, we will continue to prioritize education, healthcare, & public safety - restoring key funding as state revenues rise."
166,"While the pandemic forced our state to make difficult budgetary decisions in the spring, we are well positioned for the challenges and opportunities ahead. #gapol"
167,"Thanks to the 
@FBI
, 
@DEAHQ
, & 
@DoravillePD
, millions of $$$ worth of drugs from Mexican cartels were seized this week. This historic bust is incredibly important as we work to dismantle crime syndicates that are threatening the safety of our communities."
168,"Thanks to President 
@realDonaldTrump
, non-profits throughout our country will be able to provide more resources to innocent victims of human trafficking. Together, we will end this evil industry and ensure a better future for brave survivors. #gapol"
